weight,tweet,label
1, supposed to rain at ridge all day tomorrow also  oh well shitty weather is getting sickning,-1
1,something is seriously wrong with louisvilles weather like wtf ,-1
0.6128,national weather service says the storm that hit the st louis region friday was the worst seen in the area since num ,-1
0.7917, in virginia yea right humidity is way worse here only place that beats here in miami,-1
1,at pipestone on way back from trip num marshall  mn after visiting friends please tell me sioux falls weather looks little less dreary ,-1
0.816,thunderstorms on easter wtw how im pose to look cute if its gonna rain ,-1
0.8526,rt god has punished me for my holy saturday comment by sending snowstorm im going out to check for locusts and frogs ,-1
0.6044,when think of easter  think of it being sunny and warm  not cold and overcast ,-1
1,the bad news is that the back edge of the rain was mixing with and changing to snow ,-1
0.7795, iamsotiredof rainy weekends,-1
1,blllllleeeehhh its soo muggy this weather needs to make up its mind xp,-1
1,rt senior weeks weather better not be like this spring breaks weather ,-1
1, dude utah is num above the normal snow fall my dirt scooter is angry thus far ,-1
0.6691,rt love thunder over louisville but not this kind were so due for sunny derby week ,-1
0.5918,its num degrees out here in the desert and the ac just went out for over an hour yall make sure yall paying yall taxes we need cool air,-1
0.6038,weather is really hot in cambridge  actually registered num in the car and too hot to be out for long smiley ,-1
1,its so damn hot in atl today can only imagine what this summers gonna feel like the pacers abt to send this thing to gm num than out ,-1
0.8363,it turned sunny enough for me to get two things photographed then got cloudy again gaaaaaah ,-1
0.8262,this weather is draining tired,-1
1,its to windy,-1
0.4048,bring on the sun“ found my racket and my old one so can teach how to play tennis now we just need some nice weather,-1
0.6077,when walk in this apartment  it better be num degrees im hot as desert animal under armour ,-1
1,im sick of yucky weather storms want sunny days warm summer nights,-1
1,thunderstorms  rain and hail here today and it was so sunny yesterday think someones pissed poseidon off haveyounorespectforthegods ,-1
1,good cuz yesterdays weather was stupid rt its hot as hell outside today  ,-1
0.788,hate when all weather forecasters say it gon rain  even homeboi from chanel num on f guy and it does everyrhing but rain getitrightbitches,-1
1,the weather is horrible dampeaster,-1
0.592,"if only had num ~ rt its rainy outside one of those 
boo ed up nights hmmm",-1
0.5955,praying rt st louis update airport closed indefinitely storm was num th worst tornado to ever hit area ,-1
1,its too damn hot to be outside,-1
0.8136,shoutout to for texting me thru this storm shes the only thing keeping me from crying right now ,-1
0.4277, how cold was it thought you guys were having gorg weather ,-1
0.769, yea cuz the weather was crap didnt want to put in kyle right away just for the game to get delayed,-1
1,i cant sleep in this storm its scary loud and bright and have to be up at num  ugh please go away so can sleep love me,-1
1,this weather is so shitty ,-1
0.4077,apparently storm with golf ball sized hail is heading towards mineral wells hoping my car gets pegged wannanewcar sorryxterra,-1
1, its too hot thought here so its kind of uncomfortable its only like num degrees probably tho xd,-1
1,jus woke up from this loud ass storm whos cuddlin today ,-1
0.8301,rob martin the nasty weather continues throught the night  but tomorrow will be better with some sun and maybe ,-1
0.6004,what the heck  its rainy saturday friendlys express ,-1
0.4174,this rainy dreary day seems like good day to dig in the fabric and fibers and create something new what will ,-1
1, really fck me have to go to work in crappy ass weather i hate that shit,-1
1,this weather is sooo bipolor decide whether you wanna be cold or hot or sunny or cloudy not one every num secs,-1
0.3958,no where on my list did ask for snow oh wait wrong holiday ,-1
0.8275,i hope all of my friends and family in st louis are alright this morning sounds and looks like scary storm last night ,-1
0.4282,tornado weather in my area stay safe everybody ,-1
0.6001,weather  why you gotta play me like that ,-1
1,this weather is not winning at all hate it,-1
0.8254,buti pa nga jan malamig eh dito subra inet rt its effin cold outside dont feel like working today grrrrrrrrr lazyass,-1
1, thanks elisabeth you too last year it was num degrees this year cold and rainy oh well cant have everything right ,-1
1,rt good morning this weather is getting num me need sunshine or at least some moon shine num tide me over dear mother ,-1
0.5789,dont drink margarita then go shopping for couches in num degree weather in and out of the car in the heat heeeeadache ,-1
0.5113, morning  cindy rain again  eh they are threatening us here  but just wind and clouds so far warm out  though ,-1
0.6008,had my few hours sleep now up and buzzzzing battleoffife wheres all the goood weather though ,-1
0.4282,rainy days can make childrens parties difficult plan great indoor activities and your party will still be amazing ,-1
0.592,my roadtrip plans are busted from lack of sunshine  so now im sitting here actually contemplating going to buy video game notagamer,-1
0.4556,num bunny run walk presented by scheels in mankato benefiting leep this morning went great even with the weather thanks for the support ,-1
1,morning tworld what crappy cold rainy day no fun driving to long island and standing in line  but it will be worth if for gaga ,-1
1,humidity is killing my curls and my ends no lie ,-1
0.5154,man is it hot outside today,-1
1,this weather is making pink floyds  the wall  sound happy by comparison goodbyebluesky,-1
0.8053, sigh another rainy day,-1
0.6133,i dont know about yall but this weather makes me fell lonely teamsingle yall feel me right ,-1
1, oh  yes green river preserve the weather was awful that whole time hated it nature  ick ,-1
1,nasty weather moving into the area tonight looks like good home cooked meal and night in tonight ,-1
0.365,i always miss the nice sunny days cus have to work,-1
0.4102,this weather is something esle ,-1
0.5722,thunder storms be havin me think about alot of shit,-1
0.8225, nice after work im going golfing thats if this weather clears up ,-1
0.8574,if the weather wasnt enough to keep me from seeing girlsnightout now there is no signal grrr ,-1
1,what is this total horseshit with the snow and shit ,-1
0.8006,battling with pavement  baking ,-1
0.7914,also its rainy as mofucka,-1
0.6238, ,-1
1,a rainy and foggy drive ewww,-1
0.8019,i hate being up before num on saturday especially rainy saturday cant even watch the sunrise looks like can start breakfast  tho,-1
0.4278,ready for summer days  tired of april weather,-1
0.6925,rainy  snowy typical vt spring but bet its good discgolf weather somewhere ,-1
0.6888,time to brave the crazy weather ikea and then dinner with d,-1
0.5924,really rt its cold outside aint shit warm out there,-1
0.6154,y is it freezing,-1
0.7979,weather is not cooperating for pre easter bbq  but somehow  the sornsens and the terrells will soldier on ,-1
0.8118, rain is making me very angry ,-1
0.5914,itss freezing up inn here ,-1
0.7898,im bout to pass out its so hot,-1
1, nahhh didnt even play and this weather blows raincheck,-1
1, wish we were sharing the same weather its fifty and rainy here very dreery ,-1
0.7936,this weather better clear up by num aint working in it ,-1
1,cruddy weather barking cough funny belly wifi connection down= such fancrapingtastic day,-1
1,earth day sucks we had big hail storm and it busted out the windshield in my truck  pounded the new roof than now leaks ,-1
0.796,for once id like to be under the part of the weather radar that isnt bright red ihatekentuckyweather,-1
0.8052,rt its hot as fuck outside ,-1
0.7946, ha right snow and all no thankss ill stay right here in fl,-1
1, why the weather gotta fuck wit plans ,-1
1,all this rain and cold weather isnt helping me get any better coughs ,-1
0.5992,nab wtf man aint got time for no thunder storms voice,-1
0.6433,everytime wear these airmaxs its shitty ass weather its startin to get annoyin,-1
1,i have turned all electrical appliances off and unplugged them due to raging storm dramaqueen now realised im missin dr who bollocks,-1
0.5973,at work till num and its hot af out here for no reason,-1
0.5207,yeah  its little rainy arwx ,-1
0.8216,freezing our buns off at soccer game whats up with this kc weather ,-1
0.8031,this whole waiting out the storm thing would be more interesting if our basement had some windows oh wait thatsthepoint of being down here,-1
1,im so tired of the rainy weather want warm sunny day ,-1
1, snow today  really not very funny planet earth whats wrong have bad earth day yesterday fb smiley ,-1
1,thunderstorms should only be allowed between num  and num  scaredycat,-1
1,this weather is fucking nuts its hard to sleep when your windows are being rattled every num seconds thunderstorms,-1
0.6269, have dress that want to wear on easter but just dont know if that can happen in num degree weather ,-1
0.4164, no snow forecasted for next week rain and highs in the num s not very warm for spring break ,-1
0.5088,just heard about lambert airport hope everyone in stl is okay violent storm passed through mo today large hail and twisters ,-1
0.8234,wet wild kids scramble for eggs despite foul weather lucky kids that find the tickets amongst collected cand ,-1
0.6104,but dont miss the snow and cold winters wisconsin,-1
1,it would be num and sunny at home right now while im stuck in num and shitty in br awesome ,-1
0.7985, no but im temted to change into them now im freezing ,-1
0.8379, yeahh you working in this pee weather,-1
1,why is it that everytime get scheduled as bar patio the weather is suppppper fuckin shitty ,-1
0.6202,love the snow  but on the day of my diva party guys ,-1
0.4335, trying to keep cool sat in car near grantchester and it says num degrees on car advice on what to cook in this weather ta ,-1
1,im mad how the weather is right now,-1
1,rt me no likey thunderstorms,-1
1, we got lucky here  too rough night of weather ,-1
0.8, remember many an april in il with snow just another reason why im so glad live in tn now ,-1
1,are you kidding me snow well maybe wont go for bike ride after work after all,-1
1, imsotiredof this cold weather summer needs to hurry up,-1
0.6025,west bound bout to try and make the best out of this rainy day,-1
1,boo to rainy days and cold weather,-1
0.8209,well that was lame storm ,-1
0.5955,lmao rt good morning twietn is so cold  cloudy  rainy  dick riding is still at an all time high back to bob with sports,-1
0.614,its pretty pathetic when have to ask my friends in the northwest and in the uk to please send some of their better weather my way ,-1
0.7866, that sucks  oh well its windy as hell right now anyway ,-1
1, imsotiredof this weather ,-1
0.8166,severe weather for the ride down to lexington saw an suv flip scary ,-1
0.8088,jogged the mini course coulda used another num miles of rain oh  the humidity ,-1
0.7984, revision on bank holiday weekend shouldnt be allowed sad at least the weather is rubbish ihateexams,-1
0.7585, too bad it doesnt snow where live sad ,-1
0.5816, the following weather makes me sleepy and lazy num degrees  num degrees  snow  rain  ice  lots of clouds,-1
0.7983, well  pretty easily amused perhaps bite at bar tropical drink to match my sunny disposition despite the weather smiley ,-1
0.6927,not sure when was on here last year of more just left siesta key headn home to cold weather and tornados hmmm shd fun ,-1
0.821, would but its freezing outside lol and thanks num ],-1
1,i hate this storm if only you were here fml,-1
0.6069, awww doesnt sound good  change in the weather can cause that  maybe just tired  hope youre feeling better soon x,-1
0.8345,thunder storms all day in louisville believe we have had enough mother nature ,-1
0.8362, spring weather is so overdue my golf game is suffering this is not acceptable ,-1
1,michigans forecast for the next week oh yeah thats right cloudy with num chance of wet sunshine pleease who needs that wink ,-1
0.5876,just put my head in the freezer  its soo hot outside ,-1
1,this weather scares me sad ,-1
0.4122,runner beans coming in well  despite last weeks hail storm ,-1
0.8021,the weather is crazy stay safe everyone ,-1
1,worst break ever this shit weak stupid ass weather,-1
0.7656,heres your indy weather blog heavy rain  storms  flooding yuck ,-1
0.803,seriously its spring some places  but num degrees and cloudy here this morning ,-1
0.4062,woke up out of my sleep hot as hell ,-1
1, not as bad as that tonight still  bad weather around stl of late ,-1
1,u greensboro or laurinburg bc its humid as hell and hot here rt its too damn hot outside,-1
0.6064, whats up with the suns going to ny great weather in phx kinda not really lol,-1
1,my weather app has pictures of effing snowflakes this morning quit packing my stuff to go live with ,-1
0.403,good morning getting started on making ice cre despite the fact that its cold rainy out ,-1
0.7915, area and it scared the hell out of me ,-1
1,just came back from takin my baby to an easter egg hunt damn its hot as fukk out the door man ,-1
0.6071,its clod  gray  blustery day here in nebraska  so im gonna hang out at my grandmas where its warm ,-1
0.7995, iamsotiredof snow in april ,-1
1,tired of this nasty scary weather sad ,-1
1,sleepy weather  please go away have much to do today ,-1
0.6104,rt new data coming in looks ominous for early next week widespread multi round high impact severe weather event possi ,-1
0.8003,its april num rd  im sitting outside wearing sweater pants im cold whats wrong with this picture ,-1
1,combating another rainy boston day with adele pandora  tea and law paper should have started thursday,-1
1,weather is crappy  head to the indoor farmers market ,-1
1,ugh in the t this weather messes up your mood,-1
1,i hope all of this bad weather soon comes to and end and the sun comes out again stay safe out there folks ,-1
0.7335,hit up the blockbuster with the hubs and little guy calling for nasty  dreary weather all weekend time to hunker down and enjoy the quiet ,-1
0.8071,good morning  time to rise wit no grind today minus dis bs weather itshouldbeagoodday,-1
0.5957,dis icecre truck pple are not seruz oo who wants sumfin cold in this thunderstorm ,-1
0.8354,rainy days and mondays ,-1
0.7939,cleaning up my room wish the weather was nice outside ,-1
0.8046,nada  yet rt argh  snow just started louisville rt snow in fort collins light snow sobo,-1
0.792, maybe it will warm up in an hour dont have running clothes appropriate for see my breath weather ,-1
1,well hang gliding is bust too windy to take us up oh well we still have day of exploring and camping ,-1
0.8098, iamsotiredof minnesota weather,-1
1,off to work out go smiley on this crazy rainy day k byeeee ,-1
1,the kid is not liking the weather in newengland how is it everywhere else ,-1
0.6034,never thought would be faced with this dilemma  sleep with marshall blanket or freeze looks like im freezing tonight ,-1
1,horrible driving weather ,-1
0.5116,gloomy weather cant dampen earth day enthusiasm the gloomy weather didnt stop some people from working to imp ,-1
1,why is it so freaking hot outside on the day that have to come to bjs by myself im abtnum pay num of these dudesnum put this stuff in the car,-1
0.8186,was sunny when was walking to starbucks to read cloudy while was outside so gave up and came home now its sunny again ,-1
0.5947,my hair is seriously fucked up between rain  humidity and dancing im sexy hot mess haha,-1
0.7898,i hate kentucky weather it just decided to wake me up at num in the morning thanks thunder ,-1
0.8014, feel you there  im sick of iowa weather ,-1
0.7916,rt this weather and these gas prices are depressing,-1
0.523, lol already hmm  maybe should come visit  we are still chilly dreary im well  think wink ,-1
1,cold rain go away newengland weather need sun ,-1
0.6139, that humidity will getcha every time be careful today smiley ,-1
1,i cant take much more of this severe weather all wanna do is nap,-1
0.4084,if loads of people are getting thunder storms tonight that means im going to get one soon ahhh ,-1
0.7903, lucky its cold af outside ,-1
1,rt wish the weather in co was as beautiful as the places im seeing my followers tweet ugh,-1
0.5923,is it me or is it freezing ,-1
1,geesh  cant do warm or hot weather ,-1
1,day num on the mtn weather sucks  may have to visit the lodge early for cocktail fb ,-1
1, the weather is ugly here too its supposed to rain alll fricken weekend booooo lol,-1
0.6133,out drinkin cold beer in this weather fuckit,-1
0.5177,i know spring is over when the air conditioner kicks in at num degrees and start to water overnight no peace and quiet at my house ,-1
0.5955,rt yikkkes its cold in ohio thats spring weather for ya lol,-1
1, what the heck more snow ,-1
1,its rainy mess,-1
0.7473,num kids with colds mom under the weather  too gloomy day perfect day for nap guess we all either go back to bed or take turns napping ,-1
0.8078,rt good morning smiley morning weather is fucked though ,-1
1,dying over the weather right now how are we supposed to sleep when its warm like this ,-1
0.5798, ok come to jersey monday dont have cold weather clothes anymore sad ,-1
0.2744, ucity make it through the roughest weather ,-1
0.8292, imsotiredof this nasty weather ,-1
1,i had feeling tonights sleep would be rubbish  damb you hot weather ,-1
0.6151,its hot as hell out side,-1
1, you aint see my ass today tho aint fuckin wit that weather today,-1
1,miserable weather today taking latest piano composition and working with protools today well see what happens ill post if like it ,-1
0.7873,fuhkn windy smh,-1
1,where is the sunny weather  damn guess its crying tears from my big homie tj   still in stock ,-1
0.6101, muggy weather not great for red wine clearer air will make it go down nicey ,-1
0.603, believe me  the weather forecast app on my phone is still set to la canada know bitter cold wet,-1
0.7925, aha outside my coverage area  but indeed the best place on earth aka my hometown hope it was fun outside of the lousy weather ,-1
0.6207,seriously  what is up with the weather hotorcold makeupyourmind,-1
1,looks like im workin after all drivin to long island in this shitty weather at least its money ,-1
1, the news said there was snow in parts of connecticut ugh,-1
0.7821,same here  soooo over it more storm clouds rolling in really ,-1
1,rt it was supposed to be in the num and sunny today it is neither right now who do call to get refund on today ,-1
1, the terrible weather makes people lose their marbles ,-1
0.8254,"its hot as fuck outside 

 oh sorry ill go back in ",-1
0.5894,with so much crazy weather  nice to have break with pet of week  wish had enough time energy for wookie ,-1
0.4186, same here but with my luck it will snow tomorrow lol,-1
0.6409, think hoodies are must the weather has been too bipolar as of late ,-1
0.4039, its warm  but its windy l,-1
0.3835,cloudy  cold  rainy thankfully warm and cuddly baby and gfree chocolate chip pancakes are on this mornings agenda ,-1
0.2108, might just wait until now and the weather will turn around smiley ,-1
1,its fuckin cold outside,-1
1,jake is sooo scared of this storm right now feel so bad for him sad num ,-1
1,snow blah,-1
0.7964,oh  st louis   so sorry you got hit so hard by the storm hope everyones ok the rest of the storms do no harm sad stl,-1
1, ugh raining and cold right now here hope its sunny tomorrow ,-1
0.8297,rt come back to fb dai laew,-1
0.8337,rt im not feeling this weather ,-1
0.5888,rt how come that the red states have all this bad weather goddess is displeased ,-1
0.7761,rainy days overit,-1
1,mister big scary storm you can go away now you scar little me ,-1
0.6081,rt someone please tell me why its april my feet and hands are freezing ,-1
1,driving in this horrible storm alone scariest thing ever,-1
0.8315, if its any consolation the weather hasnt been much warmer here on the east coast either smiley ,-1
1, wanted to go to the park but the weather was miserable,-1
0.8084,it is way too hot in this house feel like im having hot flash lol and im only num time to turn on the fan damned iowa weather sad ,-1
1,the storm is close ugh nooo ,-1
1,this crappy weather is making my coffee taste especially good today wink ,-1
0.6028,it only makes sense that its nearly num degrees  sunny and not raining the day after decided to bike across the city in windy bullshit ,-1
1,not another storm,-1
0.8299,taking the kids to the museum on this dreary rainy day proudparent,-1
1,sick of rain need sunshine,-1
0.816, comin out strong in the num nd half down only num now in shit weather ,-1
0.6268,i love the rain but seriously snow come on now its spring give us some sunny and warm days please and thank you ,-1
0.7788, you clearly are in the  other  portland portland me is rainy messsad ,-1
0.6095,literally down num degrees now pouring rain and num degrees burr,-1
0.3977,what’s with the weather is climate change to blame by alyson kenward ,-1
0.8268,i hate ohio weather its retarded,-1
1,cold  rainy yuckola type day here in maine but at least its not snowing yet ,-1
0.7131,ran num mile chilly run think my insides are frozen ,-1
1,damn this storm is bangin im waiting for the power to go out any second,-1
0.4857,welcome to the windy city how about soaking city ,-1
1,ahh nd ofcourse its shitty shitty outt goodthing im going tanningg always gets me out the gross weather funk ,-1
0.405, serious its not that sunny here todaysad xx,-1
0.8594,rt snow that does it ive had enough this calls for comfort food ,-1
0.4181, remember back when it was hot every year fa thunder now niggaz scared to come out cause of da weather smh,-1
1,i wish this storm would go awaysad someone save me ,-1
0.7858,its windy as hell im waiting to these project children flying past my window ,-1
1,tjhis weather is no fun ,-1
1,cramps allergies no sunshine sad grumpygirlmath,-1
0.8009,why is it so fucking hot here  it aint hot outside and the heat aint on,-1
0.632, but mostly wanted to work in garden weather not cooperating you ,-1
1, its windy as hell cuh ,-1
0.7346,somehow me and it to our destination in this crazzzyyy storm its crazy out there folks,-1
0.7539,num yrs ago was in sundress last yr was on beach in tampa this yr im freezing in light jacket indoors at crap job bullshit,-1
1, know its rainy here no bueno ,-1
1,my  what miserable weather were having immediate num mood points ,-1
0.8463,rt michigan weather sooo bipolar,-1
0.6083,snow really but camp starts two months from today camp interlaken ,-1
0.7939,rain rain go away  and bring me some sunshine ,-1
0.6262,a rainy forecast num mph winds from the ne has put damper my idea to wear baby powder to white party operation ashy larry is no go ,-1
0.6316,pray for st louis guys terrible storm hit them ,-1
1,this is how the weather looks like where im heading too right im pissed off ,-1
0.8072,hey anybody at busch stadium right now rough weather huh ,-1
0.8055,num hour drive to spend my last day of spring break in num humidity  rain showers and num fail,-1
0.4177,well wanted today to be ball day but due to weather its get up and get high again day ,-1
1,more nasty weather ahead stay safe  voice friends ,-1
1,never thought that in april id have to turn back on my heater hate canada its shitful weather,-1
0.6081, why would leave the covered stadium num walk in the rain cold to sit in the truck plan to hang out in there all night smiley ,-1
0.6134,my furnace is the biggest pos waking up freezing is getting old ,-1
0.6533,  windy windy windy  it blew my hat off and almost lost it in the parking lot had to run after it and looked dumb,-1
0.6102, iamsotiredof snow ,-1
0.6321, drive safe crazy weather tonight they said south couty had some tornado action too everyone ok at your parents ,-1
0.5033,whntnum st louis airport closed after storm  homes flattened whntnum ,-1
0.7229,i just sat in scalding hot bath for half an hour and have the heat in my hotel room set at num and im still freezing ,-1
0.697,i would love this weather but there gunna be no fucking lax game tomorrow and my ceiling is leaking fuckyouweather notchill,-1
1,supposed to be the hottesat day today eh think the weather man should be sacked lol,-1
1,freezing my ass off in michigan with ,-1
0.6291, only six months till the ski areas open back up some are still open need to live somewhere that has more than num days of warm weather,-1
0.7947, we had num of snow two days ago ugh ,-1
1,it just snowed lil bit wow dis weather sucks ,-1
1,this is some real bs rt another rainy sat when will it end ,-1
0.6206,its suppose to be num today what happened its cold outside ,-1
0.5986, lew we survived the storm today no damage over here  just some rattled nerves shannon freeman signing off ,-1
0.8197,i feel you thats when hurricane season starts  it rains like everyday rt hot af outside ugghhhh ,-1
0.6191,a dreary rainy day in north carolina better than last weekend still diggin out ,-1
0.3666, its winter over here sad has rained loads but sunny today smiley will try slip some rusks past customs for you,-1
1,im scared of the thunderstorm sad ,-1
1,dear ultra loud thunderstorm  hate your friggin loudness and brightness unreasonable timing signed  an astraphobe with insomnia ,-1
0.4218,playing baseball on this chilly  rainy day in vienna but quite happy to be playing ball today ,-1
0.4106,looks like another cold wet easter celebration this year at least its not supposed to snow or hail like last year so far any way ,-1
0.3968,rt chicago here come hope the weather is better there than nyc ,-1
1,its storming still itll storm tomorrow and the next day and the next day and the next day just want sun so can go outside half naked,-1
1,its nasty wet cold night here num and raining been out all day and now cant get warm brrrrrrrr ,-1
0.8073,rt iamsotiredof the nice weather taking long to arrive,-1
1,its hot as fuxx out here why do you have burberry scarf on ,-1
1, no sunshine here sad ,-1
1,rt bout to pass out its so hot ,-1
0.5927, concert was totally worth it  even in the freezing rain are amazing ,-1
0.7989, ,-1
0.7876,i usually love storms but this lightning and thunder is too intense,-1
0.6136, totally agree our house isnt built for such weather and seems impossible to get warm where are you xx,-1
0.7912,okoboji bound come out to the gardens to hear the andy gibson band tonight too bad its little too chilly for stop at barefoot bar ,-1
1,great now its starting to rain in sd  feel rain drops rt just washed my car now its raining wtf is up with this la weather,-1
0.5036,this is what do on rainy days ,-1
0.5951, damn joey im thinking mines only hurt because the temp changed last night was prepared for that,-1
0.4074,ooh well look at whats on its what nice surprise on this cold raw rainy day ,-1
1, you too  bev smiley it is  but its also very very windy another price to pay for the elevation  the spring winds ,-1
0.5875,gald turned the air on bnum left cuz its hot out there,-1
0.787,note to self will not go to babyshower that is outside its way too hot and too many bugs lol,-1
0.6081,my phones blvd matches the weather  so when saw gray cloudy sky rolled over and went back to sleep ,-1
0.6028,hot as all hell out here ,-1
0.82,cant believe how cold it is outside right now ,-1
0.608,how about im on my way too the gun range before hurt some thing its cold num out this bitch,-1
1,trying num get mentally motivated num work hard num do when feel like hell the weather has me fukked up ,-1
0.7908,i can taste the end of it all coming  folks get your finest parkas and weather the fucking storm ,-1
0.611, in this weather sleep but first take shot ,-1
0.8034,jus getting off wrk bt its so hot out side gesh trynakeepmycolor,-1
